Version;FieldName;sigla_unidade_ensino;nome_unidade_ensino;dt_autorizacao;sigla_uf_unidade_ensino;nome_municipio_unidade_ensino
2;;IFES;Instituto Federal do Espírito Santo - Campus Linhares;15/05/2009 09:21:05;ES;Linhares
2;;IFES;Instituto Federal do Espírito Santo - Campus Montanha;12/09/2012 22:30:49;ES;Montanha
2;;IFES;Instituto Federal do Espírito Santo - Campus Nova Venécia;15/05/2009 09:11:57;ES;Nova Venécia
2;;IFES;Instituto Federal do Espírito Santo - Campus Piúma;18/06/2010 11:29:32;ES;Piúma
2;;IFES;Instituto Federal do Espírito Santo - Campus Santa Teresa;05/03/2009 10:30:15;ES;Santa Teresa
2;;IFES;Instituto Federal do Espírito Santo - Campus São Mateus;05/03/2009 10:40:11;ES;São Mateus
2;;IFES;Instituto Federal do Espírito Santo - Campus Serra;05/03/2009 10:44:51;ES;Serra
2;;IFES;Instituto Federal do Espírito Santo - Campus Venda Nova do Imigrante;30/03/2010 14:57:06;ES;Venda Nova do Imigrante
2;;IFES;Instituto Federal do Espírito Santo - Campus Vila Velha;24/03/2011 10:21:55;ES;Vila Velha
2;;IFES;Instituto Federal do Espírito Santo - Campus Vitória;05/03/2009 09:52:37;ES;Vitória
2;;IFES;INSTITUTO FEDERAL DO ESPIRITO SANTO - CENTRO DE REFERÊNCIA EM FORMAÇÃO E EM EDUCAÇÃO A DISTÂNCIA;28/08/2014 17:46:29;ES;Vitória
2;;IFMA;Instituto Federal do Maranhão - Campus Açailândia;05/03/2009 11:30:06;MA;Açailândia
2;;IFMA;Instituto Federal do Maranhão - Campus Alcântara;06/07/2010 16:16:25;MA;Alcântara
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS ARAIOSES;11/06/2014 14:35:38;MA;Araioses
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS AVANÇADO CAROLINA;10/06/2014 16:32:30;MA;Carolina
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS AVANÇADO PORTO FRANCO;10/06/2014 16:28:44;MA;Porto Franco
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS AVANÇADO ROSÁRIO;11/06/2014 14:31:10;MA;Rosário
2;;IFMA;Instituto Federal do Maranhão - Campus Bacabal;21/04/2011 17:46:05;MA;Bacabal
2;;IFMA;Instituto Federal do Maranhão - Campus Barra do Corda;23/03/2011 11:23:12;MA;Barra do Corda
2;;IFMA;Instituto Federal do Maranhão - Campus Barreirinhas;22/03/2011 11:03:27;MA;Barreirinhas
2;;IFMA;Instituto Federal do Maranhão - Campus Buriticupu;05/03/2009 11:24:03;MA;Buriticupu
2;;IFMA;Instituto Federal do Maranhão - Campus Caxias;30/05/2011 17:43:47;MA;Caxias
2;;IFMA;Instituto Federal do Maranhão - Campus Codó;05/03/2009 10:59:21;MA;Codó
2;;IFMA;Instituto Federal do Maranhão - Campus Coelho Neto;05/04/2013 12:44:11;MA;Coelho Neto
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS GRAJAÚ;07/02/2014 15:42:30;MA;Grajaú
2;;IFMA;Instituto Federal do Maranhão - Campus Imperatriz;05/03/2009 11:04:14;MA;Imperatriz
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS ITAPECURU MIRIM;10/06/2014 16:19:44;MA;Itapecuru Mirim
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS PEDREIRAS;07/02/2014 15:52:51;MA;Pedreiras
2;;IFMA;Instituto Federal do Maranhão - Campus Pinheiro;13/05/2011 18:25:00;MA;Pinheiro
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS PRESIDENTE DUTRA;11/06/2014 14:40:03;MA;Presidente Dutra
2;;IFMA;Instituto Federal do Maranhão - Campus Santa Inês;05/03/2009 11:32:39;MA;Santa Inês
2;;IFMA;Instituto Federal do Maranhão - Campus São João dos Patos;22/03/2011 14:36:22;MA;São João dos Patos
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS SÃO JOSÉ DE RIBAMAR;11/06/2014 14:44:08;MA;São José de Ribamar
2;;IFMA;Instituto Federal do Maranhão - Campus São Luís Centro Histórico;05/03/2009 11:26:57;MA;São Luís
2;;IFMA;Instituto Federal do Maranhão - Campus São Luís Maracanã;05/03/2009 10:54:36;MA;São Luís
2;;IFMA;Instituto Federal do Maranhão - Campus São Luís Monte Castelo;05/03/2009 10:51:58;MA;São Luís
2;;IFMA;Instituto Federal do Maranhão - Campus São Raimundo das Mangabeiras;05/03/2009 11:21:20;MA;São Raimundo das Mangabeiras
2;;IFMA;Instituto Federal do Maranhão - Campus Timon;30/05/2011 17:24:19;MA;Timon
2;;IFMA;INSTITUTO FEDERAL DO MARANHÃO CAMPUS VIANA;10/06/2014 11:01:39;MA;Viana
2;;IFMA;Instituto Federal do Maranhão - Campus Zé Doca;05/03/2009 11:14:57;MA;Zé Doca
2;;IFMS;Instituto Federal do Mato Grosso do Sul - Campus Aquidauana;08/07/2010 12:11:12;MS;Aquidauana
2;;IFMS;Instituto Federal do Mato Grosso do Sul - Campus Campo Grande;28/07/2009 18:23:06;MS;Campo Grande
2;;IFMS;Instituto Federal do Mato Grosso do Sul - Campus Corumbá;17/09/2010 10:03:33;MS;Corumbá
2;;IFMS;Instituto Federal do Mato Grosso do Sul - Campus Coxim;08/07/2010 12:11:58;MS;Coxim
2;;IFMS;INSTITUTO FEDERAL DO MATO GROSSO DO SUL CAMPUS DOURADOS;29/07/2014 09:50:24;MS;Dourados
2;;IFMS;INSTITUTO FEDERAL DO MATO GROSSO DO SUL CAMPUS JARDIM;29/07/2014 09:45:34;MS;Jardim
2;;IFMS;INSTITUTO FEDERAL DO MATO GROSSO DO SUL CAMPUS NAVIRAÍ;29/07/2014 09:58:43;MS;Naviraí
2;;IFMS;Instituto Federal do Mato Grosso do Sul - Campus Nova Andradina;24/02/2010 08:56:03;MS;Nova Andradina
2;;IFMS;Instituto Federal do Mato Grosso do Sul - Campus Ponta Porã;08/07/2010 12:14:40;MS;Ponta Porã
2;;IFMS;Instituto Federal do Mato Grosso do Sul - Campus Três Lagoas;08/07/2010 12:10:44;MS;Três Lagoas
2;;null;INSTITUTO FEDERAL DO NORTE DE MINAS CAMPUS ARAÇUAÍ;16/04/2010 10:10:18;MG;Araçuaí
2;;IFNMG;Instituto Federal do Norte de Minas Gerais - Campus Almenara;28/09/2010 11:24:35;MG;Almenara
2;;IFNMG;Instituto Federal do Norte de Minas Gerais - Campus Araçuaí;15/04/2010 15:36:50;MG;Araçuaí
2;;IFNMG;Instituto Federal do Norte de Minas Gerais - Campus Arinos;11/11/2009 14:35:53;MG;Arinos
